AFV,Household income,Home Ownership,Count of household members,Household in urban/rural area,population density,Price of Gasoline Affects Travel,Travel is a Financial Burden,Age,Gender,Educational Attainment,More than One Job,Job Category,Count of Car Share Program Usage,Trip Time to Work in Minutes,Best estimate of annual miles,Count of household vehicles,count of children in household,Relationship,Full-Time or Part-Time Worker,Count of Walk Trips,Count of Bike Trips,Level of Physical Activity,Count of adult household members,Public Transportation or Taxi, Passenger to Friend/Family Member or Rental Car, Bicycle or Walk,Race White,Race African,Race Asian,Race American Indian,Race Native Hawaiian,Multiple Response Race
0,11,1,5,1,6,4,2,48,0,5,2,4,0,15,25035.4679075344,1,1,2,1,0,0,2,4,3,1,2,0,0,1,0,0,0
0,7,2,2,1,6,4,4,28,0,4,2,4,0,10,12203.72971171,2,0,1,1,3,4,3,2,3,3,3,1,0,0,0,0,0
0,8,1,2,1,6,3,4,56,0,5,1,4,0,30,18554.1398996644,2,0,1,1,7,0,3,2,3,3,2,1,0,0,0,0,0
0,9,1,4,2,2,2,3,55,0,4,2,4,0,70,14770.5009378736,5,1,1,1,6,0,3,3,2,3,3,1,0,0,0,0,0
0,9,1,4,2,2,2,3,48,1,3,2,2,0,40,13224.1505284186,5,1,2,1,0,0,1,3,2,3,4,1,0,0,0,0,0
0,10,1,3,1,5,2,2,48,1,5,2,4,0,120,2558.86252558197,2,0,1,1,1,0,2,3,4,4,4,1,0,0,0,0,0
0,11,1,2,1,5,2,3,58,0,4,2,3,0,8,6114.00674647787,4,0,1,1,7,0,2,2,4,1,4,1,0,0,0,0,0
0,8,2,2,1,6,2,2,55,0,3,2,4,0,60,800.0,3,0,1,1,22,0,2,2,3,3,2,1,0,0,0,0,0
0,11,1,3,1,6,5,5,29,1,5,2,4,0,30,5496.0,3,0,3,1,0,0,3,3,3,1,2,1,0,0,0,0,0
0,7,1,2,1,5,5,4,71,0,3,2,3,0,7,6215.77473539383,4,0,1,1,5,0,2,2,4,3,4,1,0,0,0,0,0
0,9,1,5,1,3,3,2,31,1,5,1,4,0,8,8778.77479742173,2,3,1,1,4,0,3,2,2,3,4,1,0,0,0,0,0
0,11,1,4,1,6,4,3,47,0,5,2,4,0,10,7646.68314623467,4,0,1,1,4,1,3,2,2,3,3,1,0,0,0,0,0
0,11,1,4,1,6,4,3,46,1,4,2,4,0,5,6907.20850955335,4,0,2,2,6,4,3,2,4,1,1,1,0,0,0,0,0
0,6,1,2,1,4,3,3,62,0,2,2,3,0,50,8471.17445328193,3,0,1,1,2,0,2,2,4,4,4,1,0,0,0,0,0
0,2,1,1,1,5,1,3,70,1,3,2,1,0,10,14254.6914610479,1,0,1,2,7,3,2,1,2,4,3,1,0,0,0,0,0
0,6,1,3,1,5,1,2,24,1,4,2,4,0,60,16360.5147403963,2,0,3,1,4,0,2,2,4,4,2,0,0,1,0,0,0
0,6,1,3,1,5,1,2,56,1,5,2,4,0,40,25057.4783122149,2,0,1,1,2,0,2,2,4,3,4,0,0,1,0,0,0
0,7,1,2,1,6,3,2,28,0,3,2,1,0,28,13988.5310518768,2,0,2,1,1,0,2,2,3,3,4,1,0,0,0,0,0
0,4,1,4,1,6,3,4,41,1,4,2,1,0,16,10097.1871582547,3,1,1,2,2,4,2,2,2,1,1,1,0,0,0,0,0
0,6,1,4,2,1,3,3,37,0,2,2,3,0,4,22409.1439299391,3,0,1,1,2,0,2,2,4,1,4,1,0,0,0,0,0
0,6,1,2,1,6,2,3,65,1,3,2,1,0,10,3990.18298135899,3,0,1,1,5,0,2,2,1,1,2,1,0,0,0,0,0
0,6,1,1,1,4,3,3,63,1,5,2,4,0,30,23794.1466321678,1,0,1,1,2,0,2,1,4,1,4,1,0,0,0,0,0
1,11,1,1,1,4,5,5,61,0,5,2,4,0,22,3009.62108426758,3,0,1,1,21,0,3,1,4,1,4,1,0,0,0,0,0
0,11,1,2,2,3,5,5,53,1,4,2,4,0,15,23364.3377552819,3,0,1,1,0,0,2,2,4,4,4,1,0,0,0,0,0
0,8,1,2,1,2,2,3,58,1,3,2,4,0,50,7683.88601918236,4,0,1,1,2,0,2,2,3,3,4,1,0,0,0,0,0
1,8,1,2,1,5,3,4,30,0,4,2,4,1,20,2644.05080368145,2,0,1,1,7,0,2,2,2,1,3,1,0,0,0,0,0
0,11,1,2,1,2,5,3,67,0,3,2,1,0,50,4507.31811677599,7,0,1,1,4,0,3,2,2,1,2,1,0,0,0,0,0
0,11,1,3,2,2,5,4,43,0,4,2,4,0,20,1801.57759126062,5,0,1,1,0,0,2,2,2,1,3,1,0,0,0,0,0
0,8,1,2,1,2,4,4,58,1,5,2,4,0,20,7952.27040506474,3,0,2,1,3,0,2,2,4,4,4,1,0,0,0,0,0
0,10,1,2,1,4,4,4,39,0,5,2,4,0,30,130574.360579767,2,0,7,1,4,0,3,2,3,2,4,1,0,0,0,0,0
0,7,1,3,1,4,5,5,59,1,3,2,2,0,2,11080.6410950895,3,0,1,1,4,0,2,3,4,1,4,1,0,0,0,0,0
0,11,1,4,1,5,4,4,45,1,5,1,4,0,20,4477.17084140535,2,0,1,1,6,1,2,2,1,1,1,1,0,0,0,0,0
0,7,1,2,1,6,5,3,67,1,4,1,4,0,15,3096.96042185168,1,0,2,2,20,0,3,2,1,4,4,1,0,0,0,0,0
0,5,1,3,1,4,2,3,23,1,4,2,4,0,15,4274.84476711888,3,0,1,1,1,0,2,3,4,1,4,1,0,0,0,0,0
0,7,1,2,1,6,4,4,58,1,2,1,2,0,20,4189.5566813504,1,0,1,1,0,0,2,2,3,3,4,1,0,0,0,0,0
0,10,1,2,1,2,4,3,29,1,4,1,4,0,30,7018.96678359323,2,0,2,1,0,0,2,2,4,3,4,1,0,0,0,0,0
0,8,1,3,2,1,1,2,48,1,2,2,2,0,35,11547.4146470787,7,0,1,1,30,0,2,3,4,1,4,1,0,0,0,0,0
0,9,1,3,1,4,4,2,49,0,4,2,4,0,15,17469.9505205715,3,0,1,1,20,0,2,3,4,3,3,1,0,0,0,0,0
0,10,1,2,1,6,4,2,35,0,5,2,4,0,100,3325.92259023475,2,0,1,1,7,0,2,2,2,3,4,1,0,0,0,0,0
0,5,1,1,1,4,2,3,55,0,3,2,1,0,45,13822.5119041538,2,0,1,1,4,0,2,1,1,4,4,0,1,0,0,0,0
0,9,1,2,2,2,2,3,50,0,3,2,1,0,10,27807.1248802852,3,0,1,1,7,0,2,2,2,1,2,1,0,0,0,0,0
0,9,1,2,2,2,2,3,52,1,3,2,4,0,10,5428.85859274172,3,0,2,1,12,0,3,2,2,3,2,1,0,0,0,0,0
0,6,2,1,1,5,1,2,57,1,4,2,4,0,30,15601.7608662648,1,0,1,1,70,0,3,1,4,4,1,1,0,0,0,0,0
0,6,1,3,1,5,1,3,41,1,3,1,4,0,35,17242.3629551,2,0,1,1,7,0,2,2,4,3,4,1,0,0,0,0,0
0,6,2,2,1,5,2,2,34,1,5,2,4,0,40,10664.6268864747,2,0,1,1,3,0,2,2,3,2,4,1,0,0,0,0,0
0,5,1,2,1,4,3,3,33,1,4,1,4,0,45,174.430798657262,3,0,2,1,6,0,2,2,4,1,3,1,0,0,0,0,0
0,5,1,1,1,2,1,3,57,1,3,2,4,0,45,26891.5468872711,2,0,1,1,6,0,3,1,4,3,4,1,0,0,0,0,0
0,8,2,2,1,7,4,2,29,0,4,1,4,0,28,8593.46573430987,2,0,1,1,10,0,2,2,3,1,4,1,0,0,0,0,0
1,6,1,2,1,5,3,3,73,1,5,2,4,0,15,9762.46719766822,2,0,1,2,2,0,2,2,4,3,4,1,0,0,0,0,0
1,6,1,2,1,5,3,3,64,0,5,2,1,0,20,8900.35383640346,2,0,2,1,1,0,2,2,4,3,4,1,0,0,0,0,0
1,8,1,3,2,1,5,2,61,0,5,2,4,0,80,24762.9351592549,3,0,2,1,0,0,2,3,4,1,4,1,0,0,0,0,0
0,11,1,3,1,5,4,3,48,0,5,2,4,0,10,16443.2447953078,3,0,2,1,4,0,2,2,1,1,3,1,0,0,0,0,0
0,6,1,1,1,4,1,1,66,0,5,2,1,0,30,8481.31581377718,1,0,1,1,4,0,2,1,3,3,4,1,0,0,0,0,0
0,6,2,2,1,6,4,4,31,1,5,2,4,0,5,21651.8499322165,2,0,1,1,1,0,2,2,1,1,3,1,0,0,0,0,0
0,6,2,2,1,4,2,2,35,1,3,2,2,0,20,8645.66726719838,2,0,1,1,4,0,2,2,4,3,2,0,0,0,0,0,1
