Household income,Home Ownership,Count of household members,Household in urban/rural area,population density,Price of Gasoline Affects Travel,Travel is a Financial Burden,Age,Gender,Educational Attainment,More than One Job,Job Category,Count of Car Share Program Usage,Trip Time to Work in Minutes,Best estimate of annual miles,Count of household vehicles,count of children in household,Relationship,Full-Time or Part-Time Worker,Count of Walk Trips,Count of Bike Trips,Level of Physical Activity,Count of adult household members,Public Transportation or Taxi, Passenger to Friend/Family Member or Rental Car, Bicycle or Walk,Race African,Race Asian,Race American Indian,Race Native Hawaiian,Multiple Response Race
10,1,4,1,2,2,4,44,1,4,2,4,0,40,25140.8087423677,3,0,1,1,4,0,3,2,4,1,3,0,0,0,0,0
9,1,2,1,2,3,3,55,1,2,1,1,0,45,5442.21314252105,5,0,2,1,1,0,2,2,4,4,4,0,0,0,0,0
10,1,5,2,1,3,3,35,0,4,2,4,0,35,19731.1243654819,2,3,2,1,0,0,2,2,4,1,4,0,0,0,0,0
7,1,2,1,6,4,4,62,0,5,2,4,0,50,18100.9892187191,2,0,1,1,3,0,3,2,4,2,4,0,0,0,0,0
3,1,4,1,6,5,5,46,1,4,2,1,0,30,36089.2517052042,2,0,2,2,4,0,2,3,4,2,4,0,0,0,0,0
7,1,5,1,5,3,4,35,0,4,2,4,0,15,18571.4719323799,2,1,1,1,5,0,2,2,2,3,2,0,0,0,0,0
11,1,2,1,6,2,2,65,0,3,2,4,0,90,428.610959327847,2,0,1,2,2,3,3,2,1,4,3,0,0,0,0,0
8,2,2,1,7,5,5,39,0,4,2,1,0,10,12119.7463340724,2,0,1,1,4,0,2,2,1,4,4,0,0,0,0,0
7,1,1,2,3,3,1,60,1,5,2,4,0,60,29074.3912447119,1,0,1,1,3,0,2,1,4,4,3,0,0,0,0,0
9,1,4,2,4,3,3,50,0,3,2,4,0,18,5436.93743683568,3,0,1,1,4,0,2,2,2,4,4,0,0,0,0,0
10,1,2,1,6,4,4,53,0,4,2,4,0,20,3828.66521875849,2,0,2,1,0,0,1,2,3,3,2,0,0,0,0,0
8,1,4,1,6,5,5,47,1,5,2,4,0,10,1883.60558772793,2,1,1,1,2,0,3,2,3,1,2,0,0,0,0,0
10,1,2,1,5,5,5,32,0,4,1,4,0,18,6214.43122962108,2,0,2,1,5,0,2,2,3,3,3,0,0,0,0,0
11,1,4,1,5,4,2,33,1,4,2,4,0,20,16288.8599909472,2,1,1,1,0,0,1,2,4,4,4,0,0,0,0,0
10,1,2,1,6,5,5,53,0,5,2,4,0,20,4360.13189855681,2,0,1,1,0,1,3,2,1,3,1,0,0,0,0,0
5,1,4,1,2,5,5,47,0,2,2,4,0,120,4862.91454528845,10,0,4,1,25,0,3,4,4,1,4,1,0,0,0,0
11,1,2,1,5,3,2,60,0,2,2,4,0,22,1100.0,4,0,1,1,1,0,2,2,2,4,4,0,0,0,0,0
8,1,5,1,5,5,1,43,1,4,2,4,0,3,17916.1135163725,2,0,2,1,0,0,2,2,4,3,4,0,0,0,0,0
9,1,2,1,3,2,3,62,0,5,2,4,0,40,10118.2486217009,3,0,2,1,2,0,2,2,2,4,4,0,0,0,0,0
8,1,2,2,1,2,2,51,1,5,2,2,0,45,21604.894141007,3,0,1,1,5,0,2,2,4,1,4,0,0,0,0,0
5,2,2,1,6,2,3,56,1,3,2,1,0,10,12268.5212874745,1,0,1,2,3,0,2,2,4,4,4,1,0,0,0,0
6,1,1,2,1,5,5,53,1,5,2,4,0,60,21136.525006076,1,0,1,1,2,0,2,1,2,3,1,0,0,0,0,0
11,1,3,1,5,4,4,43,1,4,2,4,0,5,3811.55388767247,2,0,2,1,4,2,3,2,2,1,3,0,0,0,0,0
8,2,2,1,6,5,4,62,0,5,2,4,0,30,125244.518967964,3,0,2,1,5,0,2,2,3,3,4,0,0,0,0,0
7,1,3,2,2,2,3,41,1,4,2,4,0,18,12566.5784677429,2,0,1,2,7,0,2,2,4,1,4,0,0,0,0,0
6,1,5,1,2,2,2,38,1,2,2,2,0,60,14956.6662573054,3,0,3,1,0,0,1,3,4,1,4,0,0,0,0,0
9,1,2,1,6,1,3,53,0,4,2,4,0,20,7173.70419379271,2,0,1,1,1,0,2,2,3,3,3,0,0,0,0,0
5,1,1,1,5,2,2,67,1,3,2,1,0,20,9330.76678424785,1,0,1,1,10,0,2,1,4,4,4,0,0,0,0,0
8,1,3,1,2,4,3,36,0,3,2,3,0,15,12857.1353634616,3,0,3,1,3,0,2,3,2,1,2,0,0,0,0,0
6,1,6,2,1,1,2,39,0,3,2,4,0,40,16035.0370204416,3,1,1,1,0,0,2,4,4,4,4,0,0,0,0,0
8,1,7,1,6,2,2,22,1,4,2,4,0,40,12560.9492405149,5,0,3,1,0,2,2,6,2,3,4,0,1,0,0,0
1,1,1,1,6,5,4,76,1,4,2,2,0,7,8536.54409297988,1,0,1,2,0,0,2,1,4,1,4,0,0,0,0,0
11,1,3,1,6,5,5,21,1,2,1,4,0,5,15105.848205,3,0,3,2,30,0,2,3,2,1,2,0,0,0,0,0
5,2,1,2,1,1,4,55,0,4,2,1,0,45,9304.4685319174,1,0,1,1,4,0,2,1,4,1,2,0,0,0,0,0
8,1,2,1,4,5,5,58,1,5,2,4,0,12,12554.8961842648,2,0,1,1,12,0,2,2,4,1,4,1,0,0,0,0
6,1,1,1,5,4,4,29,1,4,1,1,0,20,16629.3733681013,1,0,1,1,10,0,2,1,4,4,4,0,0,0,0,0
4,1,3,1,4,2,3,54,0,3,2,3,0,15,6592.80297838628,2,0,1,1,0,0,2,2,1,3,4,0,0,0,0,0
7,2,1,2,1,3,2,80,1,4,2,2,0,50,22856.8035784681,1,0,1,1,0,0,2,1,4,1,4,0,0,0,0,0
8,1,1,1,5,4,4,53,0,4,2,1,0,30,18572.8344577841,2,0,1,1,0,0,2,1,2,4,4,0,0,0,0,0
6,1,4,1,4,2,1,30,1,3,2,4,0,10,21594.5325428396,2,1,1,2,5,0,2,2,4,4,4,0,0,0,0,0
9,1,3,1,7,2,3,55,0,5,2,4,0,2,5743.20825608418,2,0,1,1,5,0,3,2,4,4,4,0,0,0,0,0
8,1,4,1,6,2,3,52,0,2,2,3,0,15,13350.2866683526,3,0,1,2,0,0,2,2,4,1,4,0,1,0,0,0
7,1,4,2,2,2,3,52,1,5,2,4,0,45,13167.7461386655,2,0,1,2,4,0,2,1,4,3,4,0,0,0,0,0
6,1,2,2,1,3,2,54,0,3,2,1,0,45,40159.4401998936,6,0,1,1,10,0,3,2,4,3,3,0,0,0,0,0
7,1,2,1,6,1,3,56,1,3,2,2,0,20,29956.4580023485,2,0,2,1,28,0,2,2,1,4,4,0,0,0,0,0
10,1,2,1,6,4,4,52,1,3,2,4,0,25,16813.1474955674,4,0,2,1,7,0,2,2,1,4,4,0,0,0,0,0
11,1,2,2,3,4,3,40,1,5,2,4,0,15,11971.1245487433,2,0,1,1,23,0,2,2,4,4,4,0,0,0,0,0
6,1,2,2,1,3,2,67,0,1,2,3,0,90,57038.9950967497,4,0,1,1,0,0,3,2,4,4,4,0,0,0,0,0
6,1,3,2,1,3,2,28,1,3,2,2,0,40,17827.8705478422,4,1,1,1,2,0,2,2,4,4,4,0,0,0,0,0
11,2,4,1,4,2,3,37,1,4,2,4,0,23,9879.35554056252,2,0,2,1,0,0,2,2,4,4,4,0,1,0,0,0
11,1,2,1,7,4,2,62,0,5,2,4,0,40,27261.4023951539,1,0,2,1,7,0,2,2,3,2,3,0,0,0,0,0
7,2,2,1,6,4,4,28,1,5,1,4,0,10,9309.96008643752,2,0,1,1,3,0,2,2,2,3,4,0,0,0,0,1
4,1,2,1,2,1,3,26,1,3,2,1,0,80,200000.0,2,0,2,1,1,0,2,2,4,4,4,0,0,0,0,0
7,1,2,1,4,2,2,54,0,2,2,3,0,15,171.0,5,0,2,1,80,0,2,2,4,1,4,0,0,0,0,0
6,2,1,1,5,2,3,34,1,3,2,4,0,20,8478.30354400649,1,0,1,1,0,0,2,1,2,1,4,0,0,0,0,0
5,2,6,1,7,1,2,18,1,2,2,1,0,5,12417.6609827377,3,0,3,2,1,0,2,4,1,1,2,0,0,0,0,0
11,1,2,1,5,4,4,48,1,5,2,4,0,15,2853.26237704695,4,0,1,1,4,2,3,2,3,3,3,0,0,0,0,0
8,1,2,1,6,2,4,26,1,5,2,4,0,35,13667.0147480275,2,0,2,1,0,0,1,2,2,4,4,0,0,0,0,0
7,1,2,1,6,2,4,46,1,5,2,4,0,4,8417.58673980427,3,0,1,1,0,0,2,2,2,4,4,0,0,0,0,0
10,1,4,1,6,3,4,57,0,4,2,4,0,60,31847.6862133611,2,0,1,1,4,0,3,2,4,1,3,0,0,0,0,0
6,2,4,1,3,1,3,31,1,5,1,4,0,50,33331.6707533477,2,2,1,1,1,0,2,2,3,1,2,0,0,0,0,0
9,1,4,1,5,2,2,18,1,3,2,1,0,16,110799.561306028,3,0,3,2,1,0,2,3,2,4,4,0,0,0,0,0
4,1,2,1,4,1,3,66,0,2,2,3,0,5,18447.5562471396,3,0,1,2,7,0,2,2,1,3,2,0,0,0,0,0
5,1,4,1,6,2,2,57,1,3,2,4,0,15,18135.4525621545,4,0,1,1,7,4,2,4,1,4,1,0,0,0,0,0
6,1,2,1,6,2,3,65,1,3,2,1,0,45,6424.85715669988,2,0,1,1,14,0,2,2,4,4,4,0,0,0,0,0
11,1,1,1,5,4,3,47,0,5,2,4,0,10,23051.0313304078,2,0,1,1,7,0,3,1,2,3,4,0,0,0,0,0
4,2,1,1,6,1,2,45,1,3,2,2,0,20,9585.38607668529,1,0,1,1,5,0,2,1,3,3,2,0,0,0,0,0
6,1,2,1,6,2,2,55,1,2,2,4,0,7,7723.81300981349,2,0,7,1,0,0,1,2,4,1,4,0,0,0,0,0
11,1,4,1,6,4,3,36,1,4,2,4,0,20,6175.36715136818,2,2,1,1,4,0,2,2,2,1,4,0,0,0,0,0
11,1,2,2,1,4,3,46,1,5,2,4,0,45,16014.9656742862,3,0,1,1,4,0,3,2,4,3,4,0,0,0,0,0
6,1,1,1,5,2,3,46,1,5,1,4,0,10,12728.7054580657,1,0,1,1,7,0,2,1,3,3,4,0,0,0,0,0
6,1,5,1,5,5,4,62,0,5,2,4,0,25,11738.2532438808,3,1,1,2,5,0,3,3,4,4,4,0,0,0,0,0
7,1,1,1,4,4,2,57,0,4,2,4,0,130,17290.9090909091,2,0,1,1,10,0,2,1,4,3,3,0,0,0,0,0
9,2,2,1,4,5,3,39,1,4,2,4,0,35,2706.82325857363,4,0,2,1,4,0,2,2,2,1,4,0,0,0,0,0
9,1,2,1,5,4,4,75,0,5,2,4,0,25,9352.93931932331,3,0,1,2,3,0,2,2,2,3,4,0,0,0,0,0
3,2,2,1,4,1,3,26,0,3,2,1,0,15,9503.22022189612,1,0,1,1,0,0,1,2,4,4,4,0,1,0,0,0
6,1,2,1,3,2,2,59,1,3,2,4,0,35,15381.8764624104,2,0,1,1,16,0,2,2,4,1,3,0,0,0,0,0
10,1,2,1,4,3,3,57,1,4,2,2,0,15,21052.7958468631,3,0,2,1,4,3,3,2,2,1,3,0,0,0,0,0
5,2,3,1,5,2,1,36,1,5,2,3,0,85,9623.04866130863,2,0,1,1,0,0,2,2,4,1,4,0,0,0,0,0
8,1,4,1,6,2,3,36,1,3,2,2,0,45,8126.27671586586,2,1,1,1,7,0,2,2,2,1,4,0,0,0,0,0
11,1,2,2,1,3,4,65,0,5,2,4,0,5,14423.0,2,0,1,1,3,0,2,2,2,3,4,0,0,0,0,0
10,1,3,1,6,4,3,46,0,2,2,3,0,60,2400.0,4,0,2,1,0,0,2,2,2,3,4,0,0,0,0,0
8,2,1,1,5,5,5,28,1,5,2,4,0,2,4829.77855835475,1,0,1,1,0,0,3,1,4,4,4,0,0,0,0,1
8,2,1,1,5,1,1,46,0,4,2,4,0,40,2660.20802284266,1,0,1,1,3,0,3,1,1,4,4,0,0,0,0,0
8,1,2,1,5,1,2,28,1,5,2,4,0,10,4869.1286250287,2,0,2,1,7,0,2,2,1,2,4,0,1,0,0,0
7,1,2,1,6,4,4,66,0,2,2,3,0,20,10979.6743230238,2,0,2,1,0,0,2,2,4,1,4,0,0,0,0,0
9,1,2,2,1,2,3,54,0,3,2,4,0,17,24430.5288186314,2,0,2,1,0,0,1,2,4,4,4,0,0,0,0,0
5,2,1,1,6,2,2,43,1,5,1,4,0,10,7732.3647812977,1,0,1,1,1,0,3,1,1,4,4,0,0,0,0,0
6,1,2,2,1,1,3,66,0,4,2,3,0,20,50.0,6,0,1,1,14,0,3,2,4,4,4,0,0,0,0,0
4,2,1,1,3,1,1,52,1,3,2,4,0,40,31350.6156820054,1,0,1,2,3,0,2,1,1,4,4,0,0,0,0,0
11,1,3,1,7,5,3,42,0,5,2,4,0,30,2788.5428214707,2,1,1,1,4,8,3,2,3,3,3,0,0,0,0,0
9,1,1,1,6,3,4,62,0,5,2,4,0,22,3589.10841026785,2,0,1,1,7,3,3,1,4,3,3,0,0,0,0,0
7,1,2,1,2,3,3,29,0,4,2,3,0,11,1079.10692656841,3,0,1,1,4,0,3,2,4,4,4,0,0,0,0,0
10,1,5,2,2,5,5,61,0,4,2,1,0,40,3288.9249371939,5,0,1,1,3,0,2,2,4,1,4,0,0,0,0,0
5,1,3,1,7,1,3,31,0,3,2,2,0,20,24034.8107327321,1,0,1,1,2,0,2,2,3,1,4,0,0,0,0,0
3,1,2,1,5,2,2,65,0,5,2,4,0,10,22437.7621064273,2,0,1,2,0,0,2,2,4,4,4,0,0,0,0,0
9,1,2,2,1,5,4,57,0,2,2,4,0,60,13765.2991299682,3,0,1,1,0,0,2,2,2,4,4,0,0,0,0,0
2,1,1,2,2,1,3,71,0,3,2,3,0,25,7493.70168017,1,0,1,1,7,0,2,1,4,1,4,0,0,0,0,0
6,1,2,1,2,3,3,73,1,4,2,4,0,20,13476.6387106068,2,0,2,2,5,0,3,2,1,4,4,0,0,0,0,0
9,1,2,2,1,2,3,56,0,5,2,4,0,45,16834.350187963,3,0,2,1,2,0,2,2,4,3,4,0,0,0,0,0
6,2,1,1,5,2,3,30,0,5,2,3,0,15,15141.7020952513,2,0,1,1,0,0,3,1,4,4,4,0,0,0,0,0
11,1,5,1,4,2,3,53,1,3,2,2,0,7,12750.0,4,0,1,2,10,0,2,3,3,1,4,0,1,0,0,0
6,1,3,1,3,4,3,47,0,5,2,4,0,15,18181.1672987886,3,0,1,1,2,0,2,2,4,1,4,0,0,0,0,0
8,1,3,2,2,2,2,35,0,2,2,3,0,60,30548.7616180535,3,0,1,1,7,0,2,2,4,3,4,0,0,0,0,0
7,1,4,1,5,5,4,31,1,4,2,4,0,5,13342.8494543615,4,0,2,2,5,1,2,2,4,3,4,0,0,0,0,0
10,1,4,1,6,2,2,36,0,5,2,4,0,50,19384.3248967257,2,2,1,1,5,0,2,2,1,4,4,0,1,0,0,0
8,1,2,1,6,5,5,59,1,5,2,4,0,10,6324.15965381388,2,0,1,1,5,0,2,2,2,1,4,0,0,0,0,0
8,1,1,1,6,2,3,66,1,3,2,1,0,10,9689.64624467762,1,0,1,1,28,0,3,1,2,1,4,0,0,0,0,0
6,1,1,1,5,4,1,62,0,1,2,3,0,10,10000.0,1,0,1,1,5,0,2,1,4,4,1,0,0,0,0,0
1,1,1,2,2,4,3,54,0,2,1,3,0,25,36654.6585004137,4,0,1,1,0,0,3,1,4,1,4,0,0,0,0,0
8,1,4,1,5,5,3,46,1,5,2,4,0,9,8055.35652441753,2,0,1,1,7,0,3,2,1,4,4,0,0,0,0,0
8,1,2,1,4,2,4,58,1,5,2,4,0,10,9781.88575335159,3,0,1,1,5,0,2,2,4,3,4,0,0,0,0,0
8,1,5,2,2,2,2,59,1,5,2,1,0,40,18497.403995858,4,0,2,1,4,0,3,5,4,1,4,0,0,0,0,0
6,1,4,1,4,2,1,36,1,4,2,2,0,30,23634.8182098735,2,2,1,1,0,0,2,2,1,4,4,0,0,0,0,0
8,1,3,1,6,2,2,56,0,2,2,1,2,30,7157.78031589565,2,0,1,1,1,0,2,3,4,4,4,0,0,0,0,0
11,1,4,1,2,5,4,54,0,4,2,4,0,90,0.0,12,0,1,1,0,0,2,4,4,3,4,0,0,0,0,0
7,1,3,1,6,2,2,60,1,3,2,4,0,20,6607.68289692699,6,0,1,1,10,0,2,2,1,1,4,0,0,0,0,0
7,1,1,1,2,4,3,52,0,3,2,4,0,35,12297.0261630624,1,0,1,1,0,0,3,1,4,4,4,0,0,0,0,0
11,1,2,1,4,3,3,70,0,4,2,4,0,45,9738.2572500574,3,0,2,1,0,0,1,2,2,2,4,0,0,0,0,0
10,1,5,1,4,3,2,42,1,4,2,4,0,45,24570.0,4,0,1,1,6,0,2,3,4,4,4,0,0,0,0,0
7,1,5,1,7,1,2,41,1,5,2,2,0,15,16748.1896047774,2,0,1,1,2,0,2,3,4,2,4,1,0,0,0,0
7,2,1,1,6,4,4,42,1,3,1,2,0,60,6354.2736413782,2,0,1,1,30,0,3,1,1,1,2,0,0,0,0,0
7,1,2,1,6,2,2,32,1,4,2,4,0,8,12042.7533845902,2,0,2,1,5,0,3,2,4,1,2,0,0,0,0,0
8,1,3,1,4,2,2,64,0,4,2,4,0,30,19445.1015879469,2,0,1,1,5,0,1,3,4,1,4,0,0,0,0,0
7,2,5,2,1,1,2,37,1,5,2,4,0,5,10095.7279579637,3,1,1,1,3,0,2,2,4,1,4,0,0,0,0,0
3,1,1,1,5,3,3,79,1,3,2,2,0,10,4162.36238717555,1,0,1,2,0,0,2,1,4,1,2,0,0,0,0,0
1,2,5,1,7,1,1,46,1,4,2,4,0,90,12227.282775063,1,0,1,1,0,2,2,4,4,1,4,1,0,0,0,0
10,1,2,1,6,5,4,64,0,4,2,4,0,30,10107.7600915483,2,0,1,1,3,0,1,2,2,4,4,0,0,0,0,0
11,1,2,1,4,5,5,58,0,4,2,4,0,20,2201.08418616902,4,0,1,1,1,0,3,2,4,4,4,0,0,0,0,0
9,1,2,1,5,2,3,61,0,5,2,4,0,2,12877.3678487819,7,0,1,1,7,0,2,2,3,1,4,0,0,0,0,0
7,2,1,1,5,2,3,53,0,4,2,4,0,5,16034.6106932432,1,0,1,1,0,0,2,1,2,2,2,0,0,0,0,0
7,1,4,1,2,1,1,43,1,3,2,2,0,15,29635.4814134202,3,0,2,1,14,0,3,3,4,1,4,0,0,0,0,0
7,1,3,1,5,5,3,23,1,2,1,4,0,30,20825.1215260989,3,0,3,1,2,0,3,3,3,1,4,0,0,0,0,0
11,1,4,1,5,2,3,46,0,4,2,4,0,60,7423.53796515473,2,0,2,1,1,0,3,2,2,3,3,0,0,0,0,0
5,1,1,1,3,3,3,69,1,5,2,4,0,10,6731.02324892138,1,0,1,2,7,0,3,1,4,4,4,0,0,0,0,0
7,1,2,1,5,3,3,30,1,4,2,2,0,8,7895.86532093188,1,0,2,1,14,1,2,2,1,1,4,0,0,0,0,0
7,1,2,1,4,1,2,51,1,3,2,4,0,20,8071.64001184891,2,0,1,1,20,0,2,2,2,1,4,0,0,0,0,1
10,1,4,2,1,2,3,34,0,3,2,1,0,45,25124.2125670792,2,2,1,1,4,0,2,2,4,3,4,0,0,0,0,0
4,1,2,2,2,2,2,65,1,3,2,2,0,90,18801.0883499814,2,0,1,2,3,0,2,2,4,1,4,1,0,0,0,0
8,1,2,1,6,4,5,37,1,5,2,4,0,15,13081.3925743632,1,0,2,1,8,0,2,2,1,1,1,0,0,0,0,0
11,1,2,1,5,4,4,60,0,4,2,4,0,20,8690.57725184178,3,0,2,1,0,0,1,2,2,1,4,0,0,0,0,0
9,1,3,1,4,4,4,38,1,4,2,4,0,12,9469.48134995582,1,1,1,2,7,0,3,1,2,3,2,0,0,0,0,0
8,1,2,1,6,4,4,43,0,4,2,4,0,35,17575.5466760754,2,0,1,1,3,0,3,2,4,3,4,0,0,0,0,0
4,2,1,1,5,2,3,41,1,3,2,2,0,25,9125.69154590416,1,0,1,1,1,0,2,1,4,1,2,0,0,0,0,0
10,1,2,1,5,5,4,47,1,4,2,4,0,5,11705.0537710299,3,0,1,1,27,0,2,2,3,3,2,0,0,0,0,0
7,1,4,1,1,5,5,33,1,5,2,4,0,5,16553.9738904245,2,1,1,1,7,0,2,2,4,1,4,0,0,0,0,0
6,1,2,1,5,1,4,41,1,4,2,4,0,30,4578.54921554423,2,0,1,1,0,0,2,2,4,2,4,0,0,0,0,0
9,1,2,1,6,2,3,27,1,5,2,4,0,20,13879.4281539131,2,0,2,1,3,0,1,2,1,3,4,0,0,0,0,0
9,1,4,2,4,5,3,42,1,5,2,4,0,2,22898.6805143087,2,0,2,2,0,0,3,2,2,1,3,0,0,0,0,0
11,1,2,1,4,4,3,56,0,4,2,4,0,50,21363.3185017911,3,0,1,1,9,0,3,2,3,3,3,0,0,0,0,0
9,1,5,1,4,2,3,36,0,5,1,4,0,60,33776.1739361202,3,0,1,1,5,0,1,4,4,1,4,0,0,0,0,1
6,1,3,2,1,2,2,30,0,3,2,3,0,5,4431.18399851929,5,0,1,1,0,0,3,2,4,4,4,0,0,0,0,0
10,1,4,1,6,3,2,41,1,4,2,4,0,15,3771.52041394575,2,0,1,2,2,0,2,2,4,1,2,0,0,0,0,0
6,1,2,1,4,4,4,47,0,3,2,3,0,5,17117.967099217,4,0,1,1,21,0,2,2,4,1,2,0,0,0,0,0
9,1,4,1,4,2,2,37,0,4,2,4,0,40,3758.91932699082,3,0,1,1,4,0,2,2,4,4,4,0,0,0,0,0
7,1,2,1,4,3,4,61,0,5,2,1,0,20,4700.04794274551,2,0,1,2,5,0,2,2,2,1,1,0,0,0,0,0
5,2,1,1,7,4,4,26,0,4,2,4,0,20,13011.925313524,1,0,1,1,4,0,2,1,3,1,3,0,0,0,0,0
5,1,3,2,1,4,4,41,1,3,1,1,0,20,17882.9522245588,2,1,1,1,3,0,2,1,4,2,4,0,0,0,0,0
3,1,1,2,2,2,2,46,1,3,2,2,0,1,5910.09586940641,1,0,1,1,10,0,2,1,4,4,2,0,0,0,0,0
10,2,2,1,7,5,3,32,0,5,2,4,0,30,11937.6197473257,1,0,1,1,5,0,2,2,4,4,4,0,0,0,0,0
6,1,2,1,8,4,3,65,1,4,2,4,0,20,211.182830610679,2,0,1,1,0,0,1,2,1,4,4,0,0,0,0,0
9,1,2,1,6,2,2,54,1,5,2,4,0,35,12324.4235461479,2,0,7,1,7,0,2,2,4,2,4,0,0,0,0,1
6,1,2,1,4,4,4,63,1,3,2,2,0,7,12444.6319616751,2,0,2,1,0,0,2,2,4,1,4,0,0,0,0,0
10,1,3,2,2,1,1,57,1,5,2,4,0,15,2612.16003571141,3,0,2,1,5,0,3,3,4,4,3,0,0,0,0,0
9,1,2,1,5,1,2,34,1,4,2,1,0,30,14822.2828346989,2,1,1,1,1,0,1,1,2,3,4,0,0,0,0,0
7,1,2,1,5,4,3,56,1,3,2,2,0,30,20015.5798756392,2,0,1,1,0,0,2,2,4,3,4,0,0,0,0,0
6,1,3,1,5,3,3,58,1,3,2,2,0,10,30774.0501738365,4,0,1,1,4,0,2,3,4,4,4,0,0,0,0,0
6,1,4,1,4,2,3,42,1,5,2,4,0,9,18295.2496108849,3,0,1,1,4,0,2,2,1,3,4,0,0,0,0,0
5,1,2,1,6,4,4,73,1,1,2,2,0,3,2809.12242965806,2,0,2,2,6,0,1,2,3,3,2,0,0,0,0,0
4,1,4,1,6,2,4,33,1,5,2,4,0,35,19036.2549947952,2,2,3,1,0,0,2,2,4,1,4,0,0,0,0,0
8,1,2,1,2,2,1,32,1,4,2,2,0,60,20849.5324859909,2,0,1,1,4,0,2,2,4,3,4,0,0,0,0,0
9,1,4,2,1,2,2,26,1,5,1,2,0,12,37847.6681371852,4,0,3,1,7,1,3,4,4,1,4,0,0,0,0,0
4,1,2,1,5,5,4,66,1,3,2,2,0,12,10607.829276495,2,0,1,2,14,0,2,2,4,2,4,0,0,0,0,0
4,2,1,1,4,1,3,30,1,4,2,1,0,6,23217.1686423605,2,0,1,1,14,0,2,1,3,1,3,0,0,0,0,0
7,1,2,2,2,4,3,28,0,4,2,4,0,21,30606.5883944457,3,0,1,1,5,0,2,2,4,4,4,0,0,0,0,0
11,2,3,1,5,4,3,30,1,5,2,4,0,35,9527.7889052995,2,1,1,1,1,0,2,2,2,3,4,0,0,0,0,0
6,1,4,2,1,2,5,45,0,2,2,3,0,25,12530.2972318742,6,0,2,1,0,0,2,3,4,1,4,0,0,0,0,0
10,1,5,1,5,2,1,45,0,5,2,4,0,45,15253.9725380128,2,0,1,1,3,1,2,2,4,2,4,0,0,0,0,0
6,1,2,1,2,2,2,52,1,3,2,4,0,20,7708.90434816155,3,0,2,1,0,0,1,2,2,2,4,0,1,0,0,0
6,1,2,1,6,1,2,27,1,3,2,4,0,90,28185.7581429787,2,0,7,1,15,10,2,2,4,4,4,0,0,0,0,0
8,1,2,2,1,2,2,56,0,2,2,4,0,360,27027.0380622197,5,0,1,1,6,0,2,2,4,4,4,0,0,0,0,0
7,1,4,2,2,2,3,44,1,4,2,4,0,25,27919.2474596607,3,0,1,1,8,0,2,2,4,3,4,0,0,0,0,0
11,1,2,2,2,4,3,42,0,1,2,3,0,15,5258.10449015232,7,0,2,1,0,0,2,2,4,4,4,0,0,0,0,0
8,2,3,1,6,4,3,33,0,5,2,4,0,60,25620.1617499426,1,1,1,1,10,0,2,2,2,4,4,0,1,0,0,0
5,1,2,2,1,2,1,68,0,2,2,1,0,22,680.276693133933,3,0,1,2,0,0,3,2,4,4,4,0,0,0,0,0
11,1,2,1,6,5,5,52,1,2,2,1,0,40,3693.11213220007,5,0,1,2,7,0,3,2,3,4,2,0,0,0,0,0
4,2,4,2,2,1,2,55,1,1,2,1,0,30,29296.316976815,1,0,4,1,2,0,2,2,4,3,4,0,0,0,0,1
6,1,4,2,2,4,3,51,0,2,2,3,0,8,18174.639521267,3,0,2,1,2,0,2,3,4,4,4,0,0,1,0,0
11,1,2,2,1,3,3,77,0,5,2,4,0,35,12187.3363236906,3,0,1,1,7,0,2,2,2,3,2,0,0,0,0,0
7,1,2,1,3,2,3,68,1,5,2,4,0,15,4577.48417724256,3,0,2,1,0,0,1,2,4,1,4,0,0,0,0,0
4,1,2,2,2,1,3,63,0,3,2,1,0,35,13133.024463498,2,0,1,2,3,0,2,2,1,1,4,0,0,0,0,0
6,1,2,1,2,3,3,54,1,2,2,2,0,13,15679.408091743,4,0,1,1,3,0,2,2,3,3,2,0,0,0,0,0
5,1,2,1,5,2,3,49,1,3,2,2,0,25,16606.0247763944,1,0,1,1,0,0,2,2,1,1,4,0,0,0,0,0
10,1,3,1,4,4,4,31,1,5,2,4,0,25,8117.18107612526,2,1,1,1,3,0,2,2,2,1,3,0,0,0,0,0
4,1,4,2,2,1,1,55,1,2,2,1,0,15,2240.32431530172,3,0,1,1,0,0,2,3,4,4,4,0,0,0,0,0
8,1,4,1,5,4,3,30,1,4,2,4,0,7,4340.34125635058,2,2,1,2,0,0,3,2,2,3,3,0,0,0,0,0
6,1,2,1,4,3,3,64,0,3,2,3,0,15,9701.4874257207,3,0,1,1,0,0,2,2,4,1,4,0,0,0,0,0
8,1,4,2,1,4,2,32,1,4,2,1,0,30,5356.04148753157,3,2,1,1,0,0,3,2,4,3,4,0,0,0,0,0
5,1,2,1,6,3,4,63,1,3,2,2,0,7,7958.84313686652,2,0,1,2,7,0,2,2,1,1,2,0,0,0,0,0
8,1,2,2,2,4,4,60,0,3,2,4,0,15,8154.19511608409,3,0,1,1,1,0,3,2,4,1,4,0,0,0,0,0
7,1,3,1,2,1,3,58,0,5,2,4,0,42,26726.5855883221,3,0,1,1,10,0,2,2,2,3,4,0,0,0,0,0
8,1,2,2,1,1,2,49,0,4,2,4,0,90,2972.0,5,0,1,1,2,0,2,2,4,1,4,0,0,0,0,0
